Site;Sistema;Epic;Demanda;O.S.;Serviço;Forma;Tipo;Categoria;Etapa;Entrega;Início Atendimento;Data Prevista;Data Entrega;Situação;Responsável;Equipe;Ano Inicio Atendimento;Ações
SP;SIABM;SP201803919;SP201803919;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;10/08/2018 17:19;23/08/2018 17:19;;Venceu;fsmorais;Equipe 5;2018;Fabio 28/08: Havia uma pendência da arquitetura da CEF para conclusão da demanda que foi definida em uma reunião em 27/08. Com a reunião, foi definida uma nova data de entrega, porém o responsável está com afastamento médico e não conseguiu receber a demanda, tampouco alterar a data no SIGCT, o mesmo deverá retornar em 30/08.
SP;SIABM;SP201803991;SP201803991;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;16/08/2018 20:28;27/08/2018 20:28;;Venceu;fsmorais;Equipe 5;2018;Fabio 28/08: Demanda entregue, porém o responsável está com afastamento médico e não conseguiu receber a demanda, tampouco alterar a data no SIGCT, o mesmo deverá retornar em 30/08.
SP;SIABM;SP201803651;SP201803651;1;Sustentação de Sistemas*;Manutenção Corretiva*;;;Única*;1;27/07/2018 15:40;06/09/2018 15:40;;Venceu;fsmorais;Equipe 5;2018;Fabio 10/09: Demanda entregue, falta atualização da ferramenta RTC
SP;SIABM;SP201803651;SP201803651;2;Sustentação de Sistemas*;Manutenção Corretiva*;;;Única*;1;27/07/2018 15:41;06/09/2018 15:41;;Venceu;fsmorais;Equipe 5;2018;Fabio 10/09: Demanda entregue, falta atualização da ferramenta RTC
SP;SIABM;SP201803563;SP201803563;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;2;10/09/2018 14:59;11/09/2018 14:59;;Venceu;fsmorais;Equipe 5;2018;
SP;SIABM;SP201804495;SP201804495;1;Sustentação de Sistemas*;Manutenção Corretiva*;;;Única*;1;06/09/2018 12:10;20/09/2018 12:10;;Em Atendimento;fsmorais;Equipe 5;2018;
SP;SIATR;SP201804112;SP201804112;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;22/08/2018 10:35;19/11/2018 10:35;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIATR;SP201804115;SP201804115;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;22/08/2018 11:30;26/11/2018 11:30;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIATS;SP201803830;SP201803830;2;Sustentação de Sistemas*;Manutenção Corretiva*;;;Única*;1;07/08/2018 18:17;21/08/2018 18:17;;Pendente;cardenghe;Equipe 4;2018;Juliana 23/08: Será conversado com a CAIXA quais as tratativamos que serão tomadas, devido essa atividade estar em atendimento com a BRQ.
SP;SIATS;SP201803847;SP201803847;1;Sustentação de Sistemas*;Manutenção Corretiva*;;;Única*;1;08/08/2018 11:35;10/09/2018 11:35;;Venceu;cardenghe;Equipe 4;2018;Juliana 05/09: Data será repactuada junto à equipe caixa 
SP;SIATS;SP201803830;SP201803830;4;Sustentação de Sistemas*;Manutenção Corretiva*;;;Única*;1;09/08/2018 14:37;12/09/2018 14:37;12/09/2018 10:57;Entregue pela Contratada;cardenghe;Equipe 4;2018;
SP;SIATS;SP201803830;SP201803830;3;Sustentação de Sistemas*;Manutenção Corretiva*;;;Única*;1;07/08/2018 18:23;12/09/2018 18:23;12/09/2018 11:05;Entregue pela Contratada;cardenghe;Equipe 4;2018;
SP;SIAUT;SP201803686;SP201803686;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;31/07/2018 13:03;03/08/2018 13:03;;Venceu;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803682;SP201803682;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;31/07/2018 11:39;08/08/2018 11:39;08/08/2018 15:19;Entregue pela Contratada;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803798;SP201803798;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;07/08/2018 08:48;16/08/2018 08:48;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803870;SP201803870;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;09/08/2018 08:49;17/08/2018 08:49;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803558;SP201803558;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;23/07/2018 12:07;17/08/2018 12:07;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804021;SP201804021;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;20/08/2018 10:51;21/08/2018 10:51;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803975;SP201803975;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;16/08/2018 13:30;23/08/2018 13:30;21/08/2018 16:38;Entregue pela Contratada;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804010;SP201804010;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;20/08/2018 09:24;28/08/2018 09:24;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803817;SP201803817;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;07/08/2018 12:50;28/08/2018 12:50;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803645;SP201803645;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;27/07/2018 13:03;28/08/2018 13:03;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804147;SP201804147;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;23/08/2018 09:19;30/08/2018 09:19;27/08/2018 09:11;Entregue pela Contratada;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804019;SP201804019;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;20/08/2018 10:39;30/08/2018 10:39;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804306;SP201804306;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;29/08/2018 11:27;07/09/2018 11:27;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804203;SP201804203;1;Sustentação de Sistemas*;Testes Eventuais*;;;Única*;1;24/08/2018 14:32;07/09/2018 14:32;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804319;SP201804319;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;29/08/2018 13:35;08/09/2018 13:35;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804402;SP201804402;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;03/09/2018 10:13;10/09/2018 10:13;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803634;SP201803634;5;Sustentação de Sistemas*;Testes Eventuais*;;;Única*;1;03/09/2018 11:40;10/09/2018 11:40;06/09/2018 15:54;Entregue pela Contratada;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804320;SP201804320;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;29/08/2018 13:46;10/09/2018 13:46;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804321;SP201804321;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;29/08/2018 14:01;10/09/2018 14:01;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804021;SP201804021;2;Sustentação de Sistemas*;Mentoring Técnico*;;;Única*;1;11/09/2018 15:41;13/09/2018 15:41;;Vence Hoje;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804489;SP201804489;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;06/09/2018 08:35;14/09/2018 08:35;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804437;SP201804437;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;04/09/2018 10:35;14/09/2018 10:35;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804444;SP201804444;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;04/09/2018 11:27;14/09/2018 11:27;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804518;SP201804518;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;10/09/2018 10:36;17/09/2018 10:36;11/09/2018 13:42;Entregue pela Contratada;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804446;SP201804446;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;04/09/2018 11:59;17/09/2018 11:59;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804450;SP201804450;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;04/09/2018 13:51;17/09/2018 13:51;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804452;SP201804452;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;04/09/2018 14:34;17/09/2018 14:34;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804434;SP201804434;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;04/09/2018 10:02;18/09/2018 10:02;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804451;SP201804451;1;Sustentação de Sistemas*;Análise e Diagnóstico de Demanda*;;;Única*;1;04/09/2018 14:16;18/09/2018 14:16;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804018;SP201804018;2;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;17/09/2018 15:52;18/09/2018 15:52;;Agendada;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804436;SP201804436;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;04/09/2018 10:24;20/09/2018 10:24;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804533;SP201804533;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;10/09/2018 16:42;20/09/2018 16:42;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803869;SP201803869;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;09/08/2018 08:04;21/09/2018 08:04;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803872;SP201803872;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;09/08/2018 09:09;21/09/2018 09:09;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804440;SP201804440;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;04/09/2018 10:57;22/09/2018 10:57;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804399;SP201804399;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;03/09/2018 18:17;28/09/2018 18:17;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201804487;SP201804487;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;06/09/2018 08:29;08/10/2018 08:29;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIAUT;SP201803588;SP201803588;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;24/07/2018 12:35;10/10/2018 12:35;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIBAT;SP201804421;SP201804421;1;Sustentação de Sistemas*;Análise de Impacto*;;;Única*;1;03/09/2018 14:52;10/09/2018 14:52;06/09/2018 14:49;Entregue pela Contratada;cardenghe;Equipe 4;2018;
SP;SICEX;SP201804464;SP201804464;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;05/09/2018 09:22;14/09/2018 09:22;;Pendente;rcsilva16;Equipe 6;2018;
SP;SICEX;SP201804254;SP201804254;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;28/08/2018 09:24;14/09/2018 09:24;04/09/2018 13:49;Entregue pela Contratada;rcsilva16;Equipe 6;2018;
SP;SICEX;SP201804554;SP201804554;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;11/09/2018 13:10;28/09/2018 13:10;;Em Atendimento;rcsilva16;Equipe 6;2018;
SP;SIECP;SP201804264;SP201804264;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;28/08/2018 11:35;31/08/2018 11:35;;Pendente;cardenghe;Equipe 4;2018;
SP;SIGOV_GOVCONTA;SP201804202;SP201804202;7;Sustentação de Sistemas*;Manutenção Corretiva*;;;Única*;1;05/09/2018 09:21;06/09/2018 09:21;06/09/2018 13:03;Entregue pela Contratada;rcsilva16;Equipe 6;2018;
SP;SIGOV_GOVCONTA;SP201804202;SP201804202;6;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;04/09/2018 11:57;06/09/2018 14:00;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIGOV_GOVCONTA;SP201804202;SP201804202;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;24/08/2018 14:24;06/09/2018 14:24;05/09/2018 15:40;Entregue pela Contratada;rcsilva16;Equipe 6;2018;
SP;SIGOV_GOVCONTA;SP201804202;SP201804202;9;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;05/09/2018 11:11;10/09/2018 11:11;;Pendente;rcsilva16;Equipe 6;2018;
SP;SIGOV_GOVCONTA;SP201804167;SP201804167;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;23/08/2018 15:27;13/09/2018 15:27;;Vence Hoje;rcsilva16;Equipe 6;2018;
SP;SIINT;SP201804288;SP201804288;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;29/08/2018 08:00;03/09/2018 18:00;03/09/2018 14:55;Entregue pela Contratada;cardenghe;Equipe 4;2018;
SP;SIINT;SP201803624;SP201803624;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;26/07/2018 12:45;11/09/2018 12:45;;Venceu;cardenghe;Equipe 4;2018;Juliana 12/09: Data será repactuada junto à equipe caixa 
SP;SIINT;SP201803618;SP201803618;3;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;11/09/2018 14:10;13/09/2018 14:10;;Vence Hoje;cardenghe;Equipe 4;2018;
SP;SIINT;SP201804474;SP201804474;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;05/09/2018 14:00;14/09/2018 18:00;;Em Atendimento;cardenghe;Equipe 4;2018;
SP;SIINT;SP201803618;SP201803618;2;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;05/09/2018 15:00;14/09/2018 18:00;;Em Atendimento;cardenghe;Equipe 4;2018;
SP;SIINT;SP201804288;SP201804288;2;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;11/09/2018 14:58;21/09/2018 14:58;;Em Atendimento;cardenghe;Equipe 4;2018;
SP;SIINT;SP201803618;SP201803618;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;26/07/2018 10:31;28/09/2018 18:00;11/09/2018 13:17;Entregue pela Contratada;cardenghe;Equipe 4;2018;
SP;SIINT;SP201803890;SP201803890;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;10/08/2018 10:40;05/10/2018 10:40;;Em Atendimento;cardenghe;Equipe 4;2018;
SP;SITAE;SP201803846;SP201803846;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:45;19/08/2018 10:45;17/08/2018 17:12;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804315;SP201804315;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;29/08/2018 12:26;05/09/2018 12:26;;Pendente;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804353;SP201804353;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;30/08/2018 11:11;21/09/2018 11:11;03/09/2018 17:05;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804354;SP201804354;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;30/08/2018 11:18;21/09/2018 11:18;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804356;SP201804356;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;30/08/2018 11:24;21/09/2018 11:24;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804357;SP201804357;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;30/08/2018 11:29;21/09/2018 11:29;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804358;SP201804358;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;30/08/2018 11:34;21/09/2018 11:34;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804359;SP201804359;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;30/08/2018 11:41;21/09/2018 11:41;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804361;SP201804361;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;30/08/2018 11:57;21/09/2018 11:57;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804279;SP201804279;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;28/08/2018 14:58;21/09/2018 14:58;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201804425;SP201804425;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;03/09/2018 18:38;26/09/2018 18:38;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803836;SP201803836;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:21;28/09/2018 10:21;06/09/2018 10:46;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803837;SP201803837;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:23;28/09/2018 10:23;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803835;SP201803835;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:16;31/10/2018 10:16;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803838;SP201803838;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:26;30/11/2018 10:26;;Pendente;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803840;SP201803840;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:30;30/11/2018 10:30;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803839;SP201803839;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:27;28/12/2018 10:27;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803841;SP201803841;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:34;28/12/2018 10:34;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803842;SP201803842;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:35;28/12/2018 10:35;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803843;SP201803843;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:38;28/12/2018 10:38;17/08/2018 16:18;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAE;SP201803844;SP201803844;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;08/08/2018 10:40;28/12/2018 10:40;17/08/2018 14:40;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAX;SP201604785;SP201604785;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;20/08/2018 13:12;24/08/2018 13:12;22/08/2018 16:06;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAX;SP201804139;SP201804139;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;22/08/2018 15:33;24/08/2018 15:33;23/08/2018 10:09;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAX;SP201804236;SP201804236;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;27/08/2018 14:33;04/09/2018 14:33;04/09/2018 15:49;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAX;SP201801396;SP201801396;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;13/08/2018 17:35;04/09/2018 17:35;;Pendente;mboliveira;Equipe 7;2018;
SP;SITAX;SP201804214;SP201804214;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;24/08/2018 17:50;11/09/2018 17:50;31/08/2018 09:59;Entregue pela Contratada;mboliveira;Equipe 7;2018;
SP;SITAX;SP201804530;SP201804530;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;10/09/2018 15:39;13/09/2018 15:39;;Vence Hoje;mboliveira;Equipe 7;2018;
BR;SITAX;SP201804536;SP201804536;1;Sustentação de Sistemas*;Serviços Técnicos Especializados*;;;Única*;1;10/09/2018 17:52;13/09/2018 17:52;;Vence Hoje;mboliveira;Equipe 7;2018;
SP;SITAX;SP201800045;SP201800045;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;13/08/2018 17:17;14/09/2018 17:17;;Em Atendimento;mboliveira;Equipe 7;2018;
SP;SITAX;SP201804510;SP201804510;1;Manutenção Evolutiva*;Pacote de Trabalho*;;;Única*;1;06/09/2018 16:10;28/09/2018 16:10;;Em Atendimento;mboliveira;Equipe 7;2018;
